post_id,post_type,likes,comments,timestamp,caption,url
3170362456411460669,static,365701,1386,2023-08-16 03:31:17,"Listen to ‘KASAM SE’ on all your favourite streaming platforms 🤍

#sheykhar #shekharravjiani #arijitsingh #priyasaraiya #shivamsengupta #anujdanait #ashishsaxena #kasamse #garuudaamusiic #loveanthem",https://www.instagram.com/p/Cv_Y9tXo9Q9/
3153814274858762215,reels,152222,702,2023-07-24 07:45:03,"Barkha' is all yours! Song out now.
#Barkha #SongOutNow #indianmusic 

Lyricist - Kamil Irshad (@kamil_irshad_official)
Singer - Sunidhi Chauhan (@sunidhichauhan5)
Mix engineer - Sunny MR (@sunnymr)
Stroke instruments player - Tapas Roy (@mandolintapas)
Guitar player - Adiya Shankar (@jesuisnikki8adi)
Flute player - Nirmalya Dey (@humtoo1) 

Director, Choreographer - Shashank Dogra (@shashankdogra)
Actor (female) - Elisha Mayor (@elisha_mayor)
Actor (male) - Rishav Basu (@rishav_for_you)

Composed & Music : Producer: Arijit Singh ( @arijitsingh ) 

@saregama_official 

#oriyonmusicbyarijitsingh #sunidhichauhan #monsoon #connectiontorain",https://www.instagram.com/p/CvEmV-Ugz_n/
3065541171559449147,reels,599598,3246,2023-03-24 12:31:26,"Delhi !
Rain or shine, the show must go on!
The energy was electric and the love was overwhelming. 
Thank you for braving the weather and making that evening unforgettable! ☔🎶

#performingAfter4Years #RainOrShine #delhi
#arijitsingh #arijitsinghlive #arijitsinghindiatour 
#arijitsinghconcert",https://www.instagram.com/p/CqK_XQfIsI7/
3061219231617233565,reels,460378,1549,2023-03-18 20:19:17,"Tonight is going to be special with this beautiful weather.

See you Delhi.

#arijitsingh #asl #arijitsinghlive #onenightonlytour
#Delhi
⁩",https://www.instagram.com/p/Cp7oqwQI7Kd/
3060193674402457546,reels,680941,4394,2023-03-17 03:36:08,"Thank you Bangalore, until next time.

#arijitsingh #arijitsinghlive #arijitsinghindiatour 
#arijitsinghconcert #bangalore",https://www.instagram.com/p/Cp3_e7qp-fK/
3058897531670014448,reels,380305,1522,2023-03-15 08:31:42,"How does @arijitsingh manage to outdo himself EVERY. SINGLE. TIME? 🤯
#Bairiya out now.",https://www.instagram.com/p/CpzYxkrgqnw/
3052967139287233212,reels,462505,1878,2023-03-07 04:09:04,"खुशी के रंग 💜 
Wishing you all a very colorful and musical holi 🫶 

#holi2023 #festivalofcolors #oriyonmusicbyarijitsingh #arijitsingh #yaadeinwohi",https://www.instagram.com/p/CpeUXAYJ_K8/
2982933195854775239,reels,521920,2569,2022-11-30 13:07:12,"Tatwamasi @tatwamasi.foundation Announcement 🙏 ❤️  by @arijitsingh last Saturday at Jio Gardens, Mumbai on India Tour 2022-23.
#hometotheworld #tatwamasi",https://www.instagram.com/p/Cllge_3pQPH/
2982328696472127533,carousel,736530,2984,2022-11-29 17:01:46,"Mumbai!!! I couldn’t have asked for a better start to our India tour 2022-23. 
The amount of love I witnessed last week can’t be described in words - Thank you for your continuous support and love and especially the unconditional love you have showered upon me for years. This unconditional love is what keeps me going, and this is just the beginning.

#arijitsinghlive #arijitsinghindiatour 
#ASIndiatour
@insider.in @hyperlink.brandsolutions @tatwamasi.foundation @tmtalentmanagement",https://www.instagram.com/p/CljXCX8rMgt/
2980123470402371278,reels,419257,2476,2022-11-26 16:01:41,"Tatwamasi ✨❤️🙏 @tatwamasi.foundation 

Our mission is to empower needy & poor youth, children and community realise their true potential by providing a platform that encompasses education, healthcare, sports and environmental initiatives. 

#hometotheworld 
#tatwamasi",https://www.instagram.com/p/ClbhoHIIz7O/
2979313060380145170,reels,513311,2893,2022-11-25 13:14:02,"Behind the scenes of my India tour rehearsals, feeling happy and excited to meet everyone soon. 

#DND #indiatour 
#arijitsinghlive",https://www.instagram.com/p/ClYpXF-o_YS/
2904619692616493570,reels,220817,1010,2022-08-14 11:50:12,"Check the new teaser for ""Patriot"", a new single by Arijit Singh.
Gear up for the Official Video release on Independence Day 2022.

#ArijitSingh #OriyonMusic #OriyonMusicByArijitSingh #Patriot #75IndependenceDay",https://www.instagram.com/p/ChPSDiaAqoC/
2901094169595014460,reels,166198,716,2022-08-09 15:04:52,"Bol Bom🙏

#ArijitSingh #OriyonMusic #OriyonMusicByArijitSingh #DehShivaOriginal #outnow",https://www.instagram.com/p/ChCwcbOqu08/
2900990191045644074,reels,142669,354,2022-08-09 11:39:11,"Ancient Indian texts suggest that happiness and sadness are cyclic. When we are happy with our achievements, we become busy. When we are sad, Shiva comes to our mind.

#ArijitSingh #OriyonMusic #OriyonMusicByArijitSingh #DehShivaOriginal #outnow",https://www.instagram.com/p/ChCYzVqKw8q/
2900896414576077712,reels,134412,271,2022-08-09 08:33:11,"We, devotees of Shiva, pray to him. In the name of devotion, all we do is ask.

#ArijitSingh #OriyonMusic #OriyonMusicByArijitSingh #DehShivaOriginal #outnow",https://www.instagram.com/p/ChCDethAuuQ/
2900828601239332141,reels,114991,300,2022-08-09 06:17:30,"We realise that we are far away from Shiva. A real devotee is one who only has Shiva in mind. The real devotee sings of Shiva’s glories, and is absorbed in Shiva all the time, irrespective of happiness or sadness.

#ArijitSingh #OriyonMusic #OriyonMusicByArijitSingh #DehShivaOriginal #outnow",https://www.instagram.com/p/ChB0D5bKeUt/
2889350241939760456,reels,345477,3386,2022-07-24 10:10:55,Thank You Sydney and Melbourne once again 🙏🙏,https://www.instagram.com/p/CgZCLySgiVI/
2886471306649052802,carousel,303387,1859,2022-07-20 10:50:15,Thank You Australia .. We are obliged with your love and support . Special thanks to the promoters and the entire team who worked for this.,https://www.instagram.com/p/CgOzlw3LKaC/
2869782437326739092,reels,136221,470,2022-06-27 10:16:00,"Monday ke, the jo blues,
Unko kiya cut loose.
Saadhe saat ka alarm,
Baarah baje tak kiya snooze! :):)

#GaayeJa #ArijitSingh #OriyonMusic #OriyonMusicByArijitSingh #Outnow",https://www.instagram.com/p/CfTg-wHg9aU/
2865425801111733139,reels,178426,656,2022-06-21 09:59:39,"This World Music Day nothing can come between you and your Music 🎶
Here's a teaser of Gaaye Ja for you. Gear up for the official video launch on 25th June, 2022! 

#GaayeJa #WorldMusicDay #Teaser #ArijitSingh #OriyonMusic #oriyonmusicbyarijitsingh #comingsoon",https://www.instagram.com/p/CfECZWdgQOT/
2858318568250958391,reels,299217,2051,2022-06-11 23:10:55,Sharing snippets from past week’s performances. Looking forward to perform in Toronto tonight …,https://www.instagram.com/p/CeqyZgDgGI3/
2849783497951194068,carousel,369536,1502,2022-05-30 19:58:07,"Thank You Washington DC and New Jersey ….
Looking forward tk Vancouver , Seattle and Phoenix this weekend …",https://www.instagram.com/p/CeMdv4aJqvU/
2847199155329806050,carousel,246138,1171,2022-05-27 06:23:30,"Some clicks from last week’s gigs in Houston, Atlanta and Austin…",https://www.instagram.com/p/CeDSIvyOa7i/
2847106305481541949,reels,406008,3148,2022-05-27 03:20:16,"Thank You Houston , Atlanta and Austin for last week. 

See you in Washington DC and New Jersey this weekend..",https://www.instagram.com/p/CeC9BmoAIk9/
2841081079480198681,reels,243399,1224,2022-05-18 19:49:40,"Loved performing with everyone in Orlando and Boston last week. Thank You for making us feel so special 🙏🙏
Looking forward to this week’s gigs in Houston, Atlanta and Austin ..",https://www.instagram.com/p/CdtjDBogCYZ/
2840365919040143542,reels,887499,6158,2022-05-17 20:07:30,,https://www.instagram.com/p/CdrAcEkg4C2/
2839727934778793619,carousel,234698,981,2022-05-16 22:59:31,Thank You Boston ❤️🙏👍,https://www.instagram.com/p/CdovYLbPl6T/
2838761722760890316,carousel,287538,1177,2022-05-15 14:59:49,Orlando …. You were awesome 🙏👍 Looking forward to Boston tonight ..,https://www.instagram.com/p/CdlTr8XI4fM/
2837789445655246169,reels,274284,1991,2022-05-14 06:53:19,,https://www.instagram.com/p/Cdh2ncvojVZ/
2835961301197706660,reels,284241,1860,2022-05-11 18:16:19,"Loved your energy Chicago, Bay Area and Dallas 
We have already arrived in Orlando . Looking forward to the gigs this weekend here and in Boston … See you all",https://www.instagram.com/p/CdbW8cipNWk/
2835347092747478449,carousel,306092,934,2022-05-10 21:55:34,Thank You Dallas for giving a perfect finish to  the first week of our tour… Looking forward to the next cities …,https://www.instagram.com/p/CdZLSiWJmWx/
2833886692935844220,carousel,224287,969,2022-05-08 21:34:01,Bay Area … Thank You for your love last night.. Tonight is Dallas ..,https://www.instagram.com/p/CdT_O7CJcF8/
2833182256567181294,carousel,246827,967,2022-05-07 22:14:25,Thank You Chicago for last evening …  Its Oakland tonight,https://www.instagram.com/p/CdRfEBioF_u/
2832360282429830487,reels,154933,1053,2022-05-06 19:01:50,,https://www.instagram.com/p/CdOkKueJ7VX/
2831846072931741647,carousel,421522,2346,2022-05-06 01:59:40,Thank You for so much love last week in UK and Netherlands . Looking forward to starting the first show of our USA Tour in @now_arena tomorrow,https://www.instagram.com/p/CdMvP_jrm_P/
2823253973675459578,reels,176563,3050,2022-04-24 05:29:14,Starting this 29th April …,https://www.instagram.com/p/CcuNofjosP6/
2797205617578857331,static,195189,1632,2022-03-19 06:55:16,"This Holi, All we had is #yaadeinwohi @oriyonmusicbyarijitsingh",https://www.instagram.com/p/CbRq7Bfg9Nz/
2784493596378794146,static,132501,574,2022-03-01 17:58:45,"Embracing the power which drives the universe; the energy of Adiyogi Lord Shiva with this new track by @arijitsingh 

#DehShiva #Mahadev #OriyonMusic #OriyonMusicByArijitSingh #OriyonMusicByAS #NewSongByOriyonMusic #ArijitSingh",https://www.instagram.com/p/CakgixLggii/
2769745406496808784,reels,268924,2233,2022-02-09 09:38:14,"Thank You Dubai once again for being the best audience … Here is a glimpse of our recent 4th Feb gig at Coca-Cola Arena ..
@cocacolaarena @speedentdxb @dubai",https://www.instagram.com/p/CZwHMXAgx9Q/
2710815529821819767,carousel,521155,3134,2021-11-20 02:13:35,Thank You @abudhabi for making us feel alive after 22 months . Loved performing with you at @etihadarena.ae @yasisland @abudhabievents @pmeworld,https://www.instagram.com/p/CWewFyipFN3/
2710388151727579347,reels,406077,3080,2021-11-19 12:04:36,"Etihad Arena , Abu Dhabi",https://www.instagram.com/p/CWdO6nrJmDT/
2710354155876203887,carousel,343391,1666,2021-11-19 10:56:55,Tonight's team - Part 3 @abudhabi @etihadarena.ae @abudhabievents  @yasisland @pmeworld,https://www.instagram.com/p/CWdHL6kgT1v/
2710353258572118715,carousel,284768,862,2021-11-19 10:55:08,Tonight's team - Part 2 @abudhabi @etihadarena.ae @yasisland @abudhabievents @pmeworld @tmtalentmanagement,https://www.instagram.com/p/CWdG-25A3q7/
2710352772150204797,carousel,212540,771,2021-11-19 10:54:10,Tonight's team - Part 1 @abudhabi @etihadarena.ae @yasisland @abudhabievents @pmeworld,https://www.instagram.com/p/CWdG3x4Ahl9/
2709721853142116094,reels,239980,1796,2021-11-18 14:01:29,Glad to be performing after almost 2 years. See you on 19th Nov @abudhabi at @etihadarena.ae @yasisland @abudhabievents @pmeworld @tmtalentmanagement,https://www.instagram.com/p/CWa3aswpib-/
2705146422660191282,reels,191456,1192,2021-11-12 06:30:25,"Redefine LOVE with #TeraHua by @arijitsingh from #Cash. Song OUT NOW! 😍❤️

@visheshb7 @amolparashar @therishabseth @gulshangrover @smiritikalra5 @iamkavindave @swanandkirkire @the_duggal_gal @kunaalvermaa @akullofficial @aarshvora @sakshib8 @ThisIsVaVaVoom 

#CashFilmOnHotstar streaming from November 19 only on @disneyplushotstar
#DisneyPlusHotstarMultiplex",https://www.instagram.com/p/CWKnFbEFFQy/
2683010139220478255,static,174445,1404,2021-10-12 17:29:14,"This festive season, spread love and divinity with ‘He Sokha’ Out Now - youtu.be/1cHvfr0F4MU  #HeShoka #RabindranathTagore @oriyonmusicbyarijitsingh",https://www.instagram.com/p/CU794GlAgkv/
2650102566842748548,reels,318986,2886,2021-08-28 07:48:37,"A farmer is an Artist.
Amra Chas Kori Anonde is a tribute to these artists.

Listen to Rabindranath Tagore’s beautiful lyrics and composition, echoing a farmer’s message.

https://youtu.be/9G4rpHC1jL0

#AmraChasKoriAnonde #AFarmerIsAnArtist #RabindranathTagore @oriyonmusicbyarijitsingh",https://www.instagram.com/p/CTHDj5jA06E/
2587847820793327661,reels,673998,9022,2021-06-03 10:20:33,"Help rural India breathe & stay safe. Your donations make all the difference. Link in bio.

An initiative by Arijit Singh in partnership with Facebook and GiveIndia

@give_india #SocialForGood",https://www.instagram.com/p/CPp4eHLJ7At/
2584890926214545424,static,256277,2422,2021-05-30 08:23:52,"Covid is the harshest reality that shows no immediate signs of defeat. My heart goes out to each of you who has experienced the loss of a loved one. No loss hurts more than this, and today I share your pain.

The pandemic has reached our rural communities, most of whom are largely unequipped to handle it. As I sit here today in my hometown of Murshidabad, I wish to do everything in my capacity to help improve this. I have joined hands with SocialForGood and GiveIndia to extend a helping hand to rural India. Please help me in keeping rural India safer by donating as you can. Link in bio.

In early June, I will be singing live on Facebook from my village in Murshidabad. I look forward to sharing my music with you all then. Exact live stream details will follow soon.

@give_india #SocialForGood",https://www.instagram.com/p/CPfYJogJgAQ/
2531272703112330925,static,260419,1847,2021-03-17 08:54:02,"#Pagglait Title Track Out Now… @oriyonmusicbyarijitsingh  YT Channel
@sanyamalhotra_ @raftaarmusic  @amritasinghmajumder @sikhya @balajimotionpictures @netflix_in  @tmtalentmanagement @believemusic",https://www.instagram.com/p/CMg4xy6pz6t/
2527606470658529008,reels,213827,1659,2021-03-12 07:42:10,"Honoured to serve Music to the World…
A small correction - Kaushik Das is the music producer.

@netflix_in | @sanyamalhotra_ | @umeshbist | @neeleshmisra | @shobha9168 | @ektarkapoor | @guneetmonga | @achinjain20 | @ruchikaakapoor | @sikhya | @balajimotionpictures 
@tarsamemittal
@sunnymr

#Pagglait #PagglaitOnNetflix",https://www.instagram.com/p/CMT3LF3lJbw/
2526997732420662423,reels,342759,2947,2021-03-11 11:20:31,,https://www.instagram.com/p/CMRswyNJrSX/
2425481581056908827,reels,213777,2196,2020-10-22 09:46:17,,https://www.instagram.com/p/CGpCqWwJl4b/
2416086286242041461,static,172857,1034,2020-10-09 10:39:11,,https://www.instagram.com/p/CGHqa0mJk51/
2412425841895469528,static,194480,1113,2020-10-04 09:26:32,,https://www.instagram.com/p/CF6qIWJJvHY/
2411965990635398842,reels,189195,1367,2020-10-03 18:13:05,,https://www.instagram.com/p/CF5BkoSJWa6/
2409605724073361575,static,231630,1365,2020-09-30 12:03:28,,https://www.instagram.com/p/CFwo6OwJACn/
2376384705947143751,static,234836,1611,2020-08-15 15:59:14,"Thank You @arrahman sir.
@allaboutmusicin",https://www.instagram.com/p/CD6nUynpo5H/
2368317453138128519,static,228832,1517,2020-08-04 12:51:02,,https://www.instagram.com/p/CDd9Cz9p-6H/
2364908142751674103,static,229212,1483,2020-07-30 19:57:21,@oriyonmusicbyarijitsingh,https://www.instagram.com/p/CDR120PJG73/
